epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,898.044,0.43758,9.2935,0,0.31345,1.01548,0.99866,1,0.995,0.93383,0,0,0,0,4.19941,8.39663,0,1.67947,7.04501,0.00172676,0.00172676,0.00172676
71,910.094,0.43915,9.3395,0,0.31942,1.01678,0.93036,1,0.99233,0.9275,0.01332,0.01429,0.00565,0.00169,4.25675,8.53939,0,1.91935,7.62976,0.0017228,0.0017228,0.0017228
72,921.394,0.38079,8.77078,0,0.29503,0.97792,0.99903,1,0.995,0.9716,0.49268,0.48571,0.34277,0.05853,4.15165,5.69726,0,1.56652,6.84177,0.00171884,0.00171884,0.00171884
73,935.462,0.37773,9.14338,0,0.29519,0.99138,0.99903,1,0.995,0.98663,0.88549,0.88571,0.89371,0.34525,4.14041,4.81258,0,1.70366,6.69257,0.00171488,0.00171488,0.00171488
74,950.241,0.40344,9.00634,0,0.31601,1.01471,0.99903,1,0.995,0.95755,0.85631,0.85714,0.84084,0.31744,4.09178,5.01069,0,1.32036,6.74736,0.00171092,0.00171092,0.00171092
75,962.99,0.43664,9.26783,0,0.31626,1.02406,0.99893,1,0.995,0.9506,0.11906,0.1,0.06451,0.00738,4.1801,6.14488,0,1.74767,6.57129,0.00170696,0.00170696,0.00170696
76,975.467,0.38013,9.22803,0,0.3016,0.99779,0.99914,1,0.995,0.95123,0.21994,0.21429,0.11442,0.02535,4.27275,6.63994,0,1.96057,6.83207,0.001703,0.001703,0.001703
77,986.662,0.38229,8.69146,0,0.29064,0.98627,0.99883,1,0.995,0.87777,0.28561,0.28571,0.20614,0.0754,4.28798,6.26409,0,2.06689,7.17773,0.00169904,0.00169904,0.00169904
78,998.032,0.41058,8.93644,0,0.29381,1.00957,0.99916,1,0.995,0.97139,0.75656,0.75714,0.75522,0.20593,4.26422,5.48533,0,1.81391,7.2439,0.00169508,0.00169508,0.00169508
79,1010.28,0.39391,9.05968,0,0.29175,0.99655,0.99907,1,0.995,0.95177,0.94202,0.94286,0.94908,0.31922,4.19716,4.79276,0,1.58654,7.10328,0.00169112,0.00169112,0.00169112
80,1021.98,0.40044,8.31904,0,0.28955,0.98794,0.99905,1,0.995,0.97752,0.58723,0.58571,0.47803,0.11167,4.17303,5.53376,0,1.64667,6.86482,0.00168716,0.00168716,0.00168716
81,1033.52,0.38588,9.03785,0,0.28319,0.98486,0.99875,1,0.995,0.95394,0.5712,0.57143,0.49208,0.10356,4.10829,5.8462,0,1.54673,6.91846,0.0016832,0.0016832,0.0016832
82,1045.15,0.35122,9.02762,0,0.27461,0.97332,0.99773,1,0.995,0.97259,0.82669,0.82857,0.8161,0.24758,4.13745,5.23495,0,1.51835,6.48834,0.00167924,0.00167924,0.00167924
83,1057.06,0.35559,9.61701,0,0.27756,0.97767,0.99528,1,0.995,0.9324,0.01858,0.01429,0.00474,0.00047,4.27663,10.1305,0,1.71898,6.45262,0.00167528,0.00167528,0.00167528
84,1068.49,0.38711,9.1651,0,0.28624,0.98378,0.99486,1,0.995,0.93662,0,0,0,0,4.32781,8.45303,0,1.8248,6.80259,0.00167132,0.00167132,0.00167132
85,1080.27,0.36636,8.86546,0,0.27794,0.97601,0.9948,1,0.995,0.95672,0,0,0,0,4.20393,6.451,0,1.79955,6.85968,0.00166736,0.00166736,0.00166736
86,1093.54,0.36154,8.84147,0,0.2778,0.97624,0.99507,1,0.995,0.88225,0.04265,0.04286,0.01628,0.0031,4.28583,6.92148,0,1.94937,7.07301,0.0016634,0.0016634,0.0016634
87,1104.87,0.37301,8.69767,0,0.27915,0.97102,0.99881,1,0.995,0.92793,0.08568,0.08571,0.04181,0.00418,4.18659,5.80064,0,1.66455,6.40967,0.00165944,0.00165944,0.00165944
88,1117.38,0.34189,9.4906,0,0.27124,0.9823,0.99904,1,0.995,0.95979,0.57918,0.57143,0.6324,0.21746,4.25128,5.27097,0,1.99755,6.56875,0.00165548,0.00165548,0.00165548
89,1129.69,0.35372,8.49213,0,0.2716,0.96606,0.99872,1,0.995,0.99002,0.50933,0.44286,0.40337,0.06466,4.1493,5.25484,0,1.58111,6.86612,0.00165152,0.00165152,0.00165152
90,1142.98,0.34784,8.71327,0,0.26819,0.9704,1,0.99541,0.995,0.96484,0.91558,0.87143,0.92702,0.39965,4.15123,4.59759,0,1.81366,6.49507,0.00164756,0.00164756,0.00164756
91,1156.35,0.33965,9.08799,0,0.26473,0.96324,0.99907,1,0.995,0.99198,0.85674,0.85714,0.8752,0.28254,4.23756,4.69489,0,1.74034,6.48772,0.0016436,0.0016436,0.0016436
92,1169.72,0.36836,8.62318,0,0.26861,0.98184,0.99532,1,0.995,0.93646,0.95266,0.95714,0.95671,0.31101,4.22152,4.72542,0,1.54343,6.4129,0.00163964,0.00163964,0.00163964
93,1181.82,0.38273,8.93204,0,0.27258,0.98872,0.99503,1,0.995,0.96422,0.53967,0.54286,0.37009,0.11139,4.17146,5.07446,0,1.70236,6.58619,0.00163568,0.00163568,0.00163568
94,1196.57,0.33629,9.19342,0,0.25896,0.95301,0.99875,1,0.995,0.97942,0.21406,0.21429,0.12158,0.01853,4.18943,5.54483,0,1.91129,6.80976,0.00163172,0.00163172,0.00163172
95,1208.4,0.31032,9.11993,0,0.25103,0.94894,0.99887,1,0.995,0.97591,0.32829,0.32857,0.20632,0.04167,4.14151,5.20972,0,1.63968,6.50143,0.00162776,0.00162776,0.00162776
96,1220.89,0.33633,8.71619,0,0.26562,0.96615,0.99919,1,0.995,0.96985,0.45687,0.45714,0.32638,0.05592,4.15362,5.18017,0,1.76389,6.40018,0.0016238,0.0016238,0.0016238
97,1233.09,0.30686,8.76679,0,0.25046,0.94516,0.99897,1,0.995,0.97922,0.44248,0.44286,0.27584,0.06106,4.16185,4.99134,0,1.76228,6.29695,0.00161984,0.00161984,0.00161984
98,1250.81,0.35787,9.0243,0,0.26608,0.986,0.99906,1,0.995,0.95104,0.95624,0.95714,0.96104,0.37346,4.18646,4.63525,0,1.47248,6.39455,0.00161588,0.00161588,0.00161588
99,1262.09,0.3297,8.50278,0,0.25965,0.94079,0.99912,1,0.995,0.97009,0.95628,0.95714,0.97332,0.3752,4.17929,4.6492,0,1.45499,6.32523,0.00161192,0.00161192,0.00161192
100,1274.17,0.30473,8.76846,0,0.24659,0.94846,0.99919,1,0.995,0.94053,0.7211,0.71429,0.7077,0.20001,4.2093,4.91713,0,1.79733,6.40276,0.00160796,0.00160796,0.00160796
101,1288,0.29193,8.50648,0,0.24299,0.93429,0.99912,1,0.995,0.94466,0.75652,0.75714,0.67061,0.19525,4.24745,4.7697,0,1.72853,6.30712,0.001604,0.001604,0.001604
102,1301.86,0.32033,9.18967,0,0.25094,0.95626,0.99906,1,0.995,0.90209,0.62797,0.62857,0.51379,0.13079,4.28427,5.59035,0,1.90029,6.78018,0.00160004,0.00160004,0.00160004
103,1315.51,0.33387,8.9633,0,0.2469,0.96026,0.99915,1,0.995,0.97631,0.62817,0.62857,0.52761,0.22151,4.14157,5.22571,0,1.60034,6.70995,0.00159608,0.00159608,0.00159608
104,1336.21,0.3343,8.55004,0,0.25429,0.96433,0.99899,1,0.995,0.98077,0.82912,0.82857,0.85482,0.36645,4.23444,5.2728,0,1.62253,6.63498,0.00159212,0.00159212,0.00159212
105,1350.37,0.33114,8.76375,0,0.25025,0.9494,0.9992,1,0.995,0.98627,0.94727,0.94286,0.96591,0.4404,4.1132,4.67733,0,1.67595,6.2908,0.00158816,0.00158816,0.00158816
106,1363.74,0.31072,8.50287,0,0.23935,0.93972,0.99785,1,0.995,0.97796,0.41413,0.41429,0.36277,0.08845,4.21614,5.29662,0,1.7844,6.70626,0.0015842,0.0015842,0.0015842
107,1376.48,0.30702,8.67398,0,0.24519,0.96645,0.99242,1,0.995,0.95462,0.87934,0.88571,0.89831,0.40074,4.19196,4.6578,0,1.56378,6.31762,0.00158024,0.00158024,0.00158024
108,1387.93,0.30282,8.50568,0,0.24245,0.94392,0.99904,1,0.995,0.95511,0.92797,0.92857,0.94265,0.41495,4.23422,5.02723,0,1.60906,6.54172,0.00157628,0.00157628,0.00157628
109,1399.2,0.29906,9.01245,0,0.24272,0.9543,0.9986,1,0.995,0.97654,0.9558,0.95714,0.97008,0.42072,4.17755,5.35401,0,1.62003,6.31434,0.00157232,0.00157232,0.00157232
110,1411.29,0.33532,8.66028,0,0.25853,0.96083,0.99912,1,0.995,0.97558,0.89977,0.9,0.92942,0.37517,4.15477,5.14627,0,1.5529,6.43114,0.00156836,0.00156836,0.00156836
111,1423.65,0.3276,8.55098,0,0.25856,0.95235,0.99902,1,0.995,0.97469,0.9562,0.95714,0.96159,0.40589,4.12771,4.87027,0,1.48312,6.6682,0.0015644,0.0015644,0.0015644
112,1435.71,0.30315,8.59828,0,0.23995,0.93297,0.99918,1,0.995,0.98155,0.91353,0.91429,0.93858,0.40135,4.12576,4.61518,0,1.65737,6.17356,0.00156044,0.00156044,0.00156044
113,1447.61,0.2666,8.51807,0,0.22658,0.91699,0.99712,1,0.995,0.97437,0.85676,0.85714,0.90207,0.28073,4.14453,4.68114,0,1.55141,6.23741,0.00155648,0.00155648,0.00155648
114,1460.85,0.29338,8.51492,0,0.24234,0.93678,0.9992,1,0.995,0.9904,0.95637,0.95714,0.97039,0.45233,4.10081,4.65812,0,1.53634,6.47112,0.00155252,0.00155252,0.00155252
115,1477.01,0.29615,9.16609,0,0.23682,0.9334,0.9992,1,0.995,0.98069,0.82831,0.82857,0.87677,0.28871,4.1394,4.64608,0,1.60338,6.49801,0.00154856,0.00154856,0.00154856
116,1489.77,0.28416,8.62247,0,0.2347,0.9374,0.99921,1,0.995,0.98039,0.45707,0.45714,0.31538,0.06783,4.0782,5.12437,0,1.62405,6.22263,0.0015446,0.0015446,0.0015446
117,1502.3,0.3089,8.66552,0,0.23852,0.93403,0.995,1,0.995,0.97843,0.75613,0.75714,0.6818,0.21255,4.07387,5.3412,0,1.44754,6.14849,0.00154064,0.00154064,0.00154064
118,1515.09,0.28958,8.739,0,0.22915,0.94426,0.99915,1,0.995,0.98536,0.91351,0.91429,0.90335,0.3316,4.16545,4.62051,0,1.7803,6.41905,0.00153668,0.00153668,0.00153668
119,1526.74,0.32124,8.52908,0,0.24816,0.95114,0.99744,1,0.995,0.91605,0.92712,0.92857,0.95016,0.4071,4.2081,4.77003,0,2.01486,6.96493,0.00153272,0.00153272,0.00153272
120,1540.55,0.31437,8.79679,0,0.24795,0.95804,0.99835,1,0.995,0.97567,0.8417,0.84286,0.84638,0.33493,4.20032,5.17097,0,1.7404,6.70176,0.00152876,0.00152876,0.00152876
121,1553.14,0.31825,8.70553,0,0.2459,0.94563,1,1,0.995,0.97744,0.9,0.9,0.91145,0.34311,4.12699,4.84211,0,1.56893,6.526,0.0015248,0.0015248,0.0015248
122,1565.05,0.30509,8.93074,0,0.24298,0.94787,0.99061,1,0.995,0.88655,0.93367,0.94286,0.91239,0.38016,4.32071,4.62379,0,1.82447,6.95795,0.00152084,0.00152084,0.00152084
123,1576.92,0.33807,8.69156,0,0.25307,0.96379,0.9988,1,0.995,0.95258,0.92746,0.92857,0.93102,0.3991,4.22123,5.47174,0,1.88637,6.38559,0.00151688,0.00151688,0.00151688
124,1591.56,0.32958,8.89219,0,0.24583,0.96169,0.99924,1,0.995,0.97603,0.95641,0.95714,0.97189,0.4394,4.2057,5.36627,0,1.92133,6.67365,0.00151292,0.00151292,0.00151292
125,1603.12,0.35801,8.70442,0,0.25422,0.97043,0.99912,1,0.995,0.93876,0.9563,0.95714,0.96455,0.41956,4.29748,5.28229,0,2.05895,6.66776,0.00150896,0.00150896,0.00150896
126,1614.87,0.38426,8.34433,0,0.25835,0.97925,0.99916,1,0.995,0.98102,0.94207,0.94286,0.94588,0.3745,4.23177,5.27243,0,1.58068,6.48002,0.001505,0.001505,0.001505
127,1626.62,0.36852,8.74647,0,0.26003,0.97169,0.99919,1,0.995,0.92438,0.88499,0.88571,0.87499,0.28918,4.23142,5.20997,0,1.58459,6.44205,0.00150104,0.00150104,0.00150104
128,1638.31,0.3555,8.45268,0,0.25663,0.95941,0.9992,1,0.995,0.91861,0.91356,0.91429,0.90008,0.29553,4.32977,5.3408,0,1.85468,6.33529,0.00149708,0.00149708,0.00149708
